Name,Age,Balls,BB,OPS
Trea Turner,28,867,41,0.911
Vladimir Guerrero Jr.,22,1005,86,1.002
Bryce Harper,28,976,100,1.044
Juan Soto,22,1170,145,0.999
Marcus Semien,30,1145,66,0.873
Jose Ramirez,28,1056,72,0.893
Fernando Tatis Jr.,22,821,62,0.975
Carlos Correa,26,1003,75,0.85
Aaron Judge,29,1075,75,0.916
Bryan Reynolds,26,969,75,0.912
Brandon Crawford,34,789,56,0.895
Starling Marte,32,699,43,0.841
Tyler O'Neill,26,736,38,0.912
Cedric Mullins II,26,943,59,0.878
Xander Bogaerts,28,899,62,0.863
Brandon Lowe,26,858,68,0.863
Jose Altuve,31,869,66,0.839
Shohei Ohtani,26,1032,96,0.965
Matt Olson,27,1096,88,0.911
Max Muncy,30,1032,83,0.895
Buster Posey,34,681,56,0.889
Paul Goldschmidt,33,1023,67,0.879
Bo Bichette,23,831,40,0.828
Kyle Tucker,24,810,53,0.917
Rafael Devers,24,890,62,0.89
Will Smith,26,801,58,0.86
Freddie Freeman,31,1026,85,0.896
Mike Zunino,30,566,34,0.86
Yoan Moncada,26,1030,84,0.787
Manny Machado,28,819,63,0.836
Jake Cronenworth,27,893,55,0.8
J.T. Realmuto,30,753,48,0.782
Nicky Lopez,26,762,49,0.744
Tim Anderson,28,638,22,0.806
Byron Buxton,27,321,13,1.005
Ronald Acuna Jr.,23,614,49,0.99
Nick Castellanos,29,747,41,0.939
Austin Riley,24,935,52,0.898
Ozzie Albies,24,898,47,0.799
Willy Adames,25,827,57,0.818
Justin Turner,36,955,61,0.832
Nolan Arenado,30,901,50,0.807
Teoscar Hernandez,28,817,36,0.87
Mookie Betts,28,896,68,0.854
Jonathan India,24,1048,71,0.835
Jorge Polanco,27,871,45,0.826
Enrique Hernandez,29,880,61,0.786
Yasmani Grandal,32,761,87,0.939
Corey Seager,27,541,48,0.915
Yordan Alvarez,24,899,50,0.877
Myles Straw,26,1011,67,0.696
Joey Votto,37,901,77,0.938
Kris Bryant,29,845,62,0.835
Javier Baez,28,671,28,0.813
Brandon Nimmo,28,606,54,0.838
