IDfg,fWAR,key_fangraphs,key_bbref,IDbref,Season,Name,bWAR,diff
16252,6.9,16252,turnetr01,turnetr01,2021,Trea Turner,6.470000000000001,0.4299999999999997
19611,6.7,19611,guerrvl02,guerrvl02,2021,Vladimir Guerrero Jr.,6.81,-0.10999999999999943
11579,6.6,11579,harpebr03,harpebr03,2021,Bryce Harper,5.86,0.7399999999999993
20123,6.6,20123,sotoju01,sotoju01,2021,Juan Soto,7.12,-0.5200000000000005
12533,6.6,12533,semiema01,semiema01,2021,Marcus Semien,7.25,-0.6500000000000004
13510,6.3,13510,ramirjo01,ramirjo01,2021,Jose Ramirez,6.73,-0.4300000000000006
19709,6.1,19709,tatisfe02,tatisfe02,2021,Fernando Tatis Jr.,6.61,-0.5100000000000007
14162,5.8,14162,correca01,correca01,2021,Carlos Correa,7.23,-1.4300000000000006
15640,5.5,15640,judgeaa01,judgeaa01,2021,Aaron Judge,6.04,-0.54
19326,5.5,19326,reynobr01,reynobr01,2021,Bryan Reynolds,5.96,-0.45999999999999996
5343,5.5,5343,crawfbr01,crawfbr01,2021,Brandon Crawford,6.07,-0.5700000000000003
9241,5.5,9241,martest01,martest01,2021,Starling Marte,4.73,0.7699999999999996
15711,5.4,15711,oneilty01,oneilty01,2021,Tyler O'Neill,6.26,-0.8599999999999994
17929,5.3,17929,mullice01,mullice01,2021,Cedric Mullins,5.69,-0.39000000000000057
12161,5.2,12161,bogaexa01,bogaexa01,2021,Xander Bogaerts,4.88,0.3200000000000003
18882,5.2,18882,lowebr01,lowebr01,2021,Brandon Lowe,4.68,0.5200000000000005
5417,5.2,5417,altuvjo01,altuvjo01,2021,Jose Altuve,4.43,0.7700000000000005
19755,5.1,19755,ohtansh01,ohtansh01,2021,Shohei Ohtani,4.93,0.16999999999999993
14344,5.0,14344,olsonma02,olsonma02,2021,Matt Olson,5.8,-0.7999999999999998
13301,4.9,13301,muncyma01,muncyma01,2021,Max Muncy,4.93,-0.02999999999999936
9166,4.9,9166,poseybu01,poseybu01,2021,Buster Posey,3.48,1.4200000000000004
9218,4.9,9218,goldspa01,goldspa01,2021,Paul Goldschmidt,6.14,-1.2399999999999993
19612,4.9,19612,bichebo01,bichebo01,2021,Bo Bichette,5.88,-0.9799999999999995
18345,4.8,18345,tuckeky01,tuckeky01,2021,Kyle Tucker,5.71,-0.9100000000000001
17350,4.7,17350,deverra01,deverra01,2021,Rafael Devers,3.52,1.1800000000000002
19197,4.6,19197,smithwi05,smithwi05,2021,Will Smith,3.48,1.1199999999999997
5361,4.5,5361,freemfr01,freemfr01,2021,Freddie Freeman,4.65,-0.15000000000000036
13265,4.5,13265,zuninmi01,zuninmi01,2021,Mike Zunino,3.75,0.75
17232,4.5,17232,moncayo01,moncayo01,2021,Yoan Moncada,4.04,0.45999999999999996
11493,4.4,11493,machama01,machama01,2021,Manny Machado,5.04,-0.6399999999999997
18036,4.4,18036,croneja01,croneja01,2021,Jake Cronenworth,4.8,-0.39999999999999947
11739,4.4,11739,realmjt01,realmjt01,2021,J.T. Realmuto,3.49,0.9100000000000001
19339,4.4,19339,lopezni01,lopezni01,2021,Nicky Lopez,4.26,0.14000000000000057
15172,4.3,15172,anderti01,anderti01,2021,Tim Anderson,4.79,-0.4900000000000002
14161,4.2,14161,buxtoby01,buxtoby01,2021,Byron Buxton,4.54,-0.33999999999999986
18401,4.2,18401,acunaro01,acunaro01,2021,Ronald Acuna Jr.,3.57,0.6300000000000003
11737,4.2,11737,casteni01,casteni01,2021,Nick Castellanos,3.24,0.96
18360,4.2,18360,rileyau01,rileyau01,2021,Austin Riley,6.09,-1.8899999999999997
16556,4.2,16556,albieoz01,albieoz01,2021,Ozzie Albies,3.42,0.7800000000000002
15986,4.1,15986,adamewi01,adamewi01,2021,Willy Adames,4.17,-0.07000000000000028
5235,4.0,5235,turneju01,turneju01,2021,Justin Turner,3.68,0.31999999999999984
9777,4.0,9777,arenano01,arenano01,2021,Nolan Arenado,4.14,-0.13999999999999968
13066,3.9,13066,hernate01,hernate01,2021,Teoscar Hernandez,3.87,0.029999999999999805
13611,3.9,13611,bettsmo01,bettsmo01,2021,Mookie Betts,4.15,-0.25000000000000044
21523,3.9,21523,indiajo01,indiajo01,2021,Jonathan India,3.88,0.020000000000000018
13152,3.9,13152,polanjo01,polanjo01,2021,Jorge Polanco,4.92,-1.02
10472,3.9,10472,hernaen02,hernaen02,2021,Enrique Hernandez,4.87,-0.9700000000000002
11368,3.7,11368,grandya01,grandya01,2021,Yasmani Grandal,3.73,-0.029999999999999805
13624,3.7,13624,seageco01,seageco01,2021,Corey Seager,3.69,0.010000000000000231
19556,3.7,19556,alvaryo01,alvaryo01,2021,Yordan Álvarez,3.04,0.6600000000000001
17620,3.7,17620,strawmy01,strawmy01,2021,Myles Straw,3.2199999999999998,0.4800000000000004
4314,3.6,4314,vottojo01,vottojo01,2021,Joey Votto,3.5,0.10000000000000009
15429,3.6,15429,bryankr01,bryankr01,2021,Kris Bryant,3.26,0.3400000000000003
12979,3.6,12979,baezja01,baezja01,2021,Javier Baez,4.53,-0.9300000000000002
12927,3.5,12927,nimmobr01,nimmobr01,2021,Brandon Nimmo,3.55,-0.04999999999999982
17982,3.5,17982,francty01,francty01,2021,Ty France,4.34,-0.8399999999999999
14128,3.5,14128,gallojo01,gallojo01,2021,Joey Gallo,4.65,-1.1500000000000004
12564,3.5,12564,storytr01,storytr01,2021,Trevor Story,4.21,-0.71
7304,3.4,7304,perezsa02,perezsa02,2021,Salvador Perez,5.29,-1.8900000000000001
