Tm,W,L,W-L%,GB,RS,RA,pythW-L%,dt
SDP,1,0,1.0,--,8,7,0.561,2021-04-01
PIT,1,0,1.0,--,5,3,0.718,2021-04-01
MIL,1,0,1.0,--,6,5,0.583,2021-04-01
PHI,1,0,1.0,--,3,2,0.677,2021-04-01
STL,1,0,1.0,--,11,6,0.752,2021-04-01
COL,1,0,1.0,--,8,5,0.703,2021-04-01
WSN,0,0,0.0,0.5,0,0,,2021-04-01
NYM,0,0,0.0,0.5,0,0,,2021-04-01
CIN,0,1,0.0,1.0,6,11,0.248,2021-04-01
ARI,0,1,0.0,1.0,7,8,0.439,2021-04-01
CHC,0,1,0.0,1.0,3,5,0.282,2021-04-01
MIA,0,1,0.0,1.0,0,1,0.0,2021-04-01
SFG,0,1,0.0,1.0,7,8,0.439,2021-04-01
LAD,0,1,0.0,1.0,5,8,0.297,2021-04-01
ATL,0,1,0.0,1.0,2,3,0.323,2021-04-01
KCR,1,0,1.0,--,14,10,0.649,2021-04-01
HOU,1,0,1.0,--,8,1,0.978,2021-04-01
TBR,1,0,1.0,--,1,0,1.0,2021-04-01
DET,1,0,1.0,--,3,2,0.677,2021-04-01
SEA,1,0,1.0,--,8,7,0.561,2021-04-01
LAA,1,0,1.0,--,4,3,0.629,2021-04-01
TOR,1,0,1.0,--,3,2,0.677,2021-04-01
BOS,0,0,0.0,0.5,0,0,,2021-04-01
BAL,0,0,0.0,0.5,0,0,,2021-04-01
TEX,0,1,0.0,1.0,10,14,0.351,2021-04-01
MIN,0,1,0.0,1.0,5,6,0.417,2021-04-01
CHW,0,1,0.0,1.0,3,4,0.371,2021-04-01
OAK,0,1,0.0,1.0,1,8,0.022,2021-04-01
NYY,0,1,0.0,1.0,2,3,0.323,2021-04-01
CLE,0,1,0.0,1.0,2,3,0.323,2021-04-01
SDP,2,0,1.0,--,12,9,0.629,2021-04-02
PIT,1,0,1.0,0.5,5,3,0.718,2021-04-02
MIL,1,0,1.0,0.5,6,5,0.583,2021-04-02
PHI,1,0,1.0,0.5,3,2,0.677,2021-04-02
STL,1,0,1.0,0.5,11,6,0.752,2021-04-02
COL,1,1,0.5,1.0,14,16,0.439,2021-04-02
SFG,1,1,0.5,1.0,13,11,0.576,2021-04-02
LAD,1,1,0.5,1.0,16,14,0.561,2021-04-02
WSN,0,0,0.0,1.0,0,0,,2021-04-02
NYM,0,0,0.0,1.0,0,0,,2021-04-02
CIN,0,1,0.0,1.5,6,11,0.248,2021-04-02
CHC,0,1,0.0,1.5,3,5,0.282,2021-04-02
ATL,0,1,0.0,1.5,2,3,0.323,2021-04-02
ARI,0,2,0.0,2.0,9,12,0.371,2021-04-02
MIA,0,2,0.0,2.0,4,7,0.264,2021-04-02
HOU,2,0,1.0,--,17,6,0.871,2021-04-02
TBR,2,0,1.0,--,7,4,0.736,2021-04-02
KCR,1,0,1.0,0.5,14,10,0.649,2021-04-02
DET,1,0,1.0,0.5,3,2,0.677,2021-04-02
BAL,1,0,1.0,0.5,3,0,1.0,2021-04-02
TOR,1,0,1.0,0.5,3,2,0.677,2021-04-02
CHW,1,1,0.5,1.0,15,12,0.601,2021-04-02
SEA,1,1,0.5,1.0,11,13,0.424,2021-04-02
LAA,1,1,0.5,1.0,12,15,0.399,2021-04-02
TEX,0,1,0.0,1.5,10,14,0.351,2021-04-02
MIN,0,1,0.0,1.5,5,6,0.417,2021-04-02
BOS,0,1,0.0,1.5,0,3,0.0,2021-04-02
NYY,0,1,0.0,1.5,2,3,0.323,2021-04-02
CLE,0,1,0.0,1.5,2,3,0.323,2021-04-02
OAK,0,2,0.0,2.0,6,17,0.129,2021-04-02
SDP,3,0,1.0,--,19,9,0.797,2021-04-03
PHI,2,0,1.0,0.5,7,2,0.908,2021-04-03
LAD,2,1,0.667,1.0,22,19,0.567,2021-04-03
CIN,1,1,0.5,1.5,15,17,0.443,2021-04-03
PIT,1,1,0.5,1.5,6,8,0.371,2021-04-03
MIL,1,1,0.5,1.5,6,7,0.43,2021-04-03
CHC,1,1,0.5,1.5,8,6,0.629,2021-04-03
STL,1,1,0.5,1.5,17,15,0.557,2021-04-03
WSN,0,0,0.0,1.5,0,0,,2021-04-03
NYM,0,0,0.0,1.5,0,0,,2021-04-03
MIA,1,2,0.333,2.0,16,14,0.561,2021-04-03
COL,1,2,0.333,2.0,19,22,0.433,2021-04-03
SFG,1,2,0.333,2.0,13,15,0.435,2021-04-03
ATL,0,2,0.0,2.5,2,7,0.092,2021-04-03
ARI,0,3,0.0,3.0,9,19,0.203,2021-04-03
HOU,3,0,1.0,--,26,7,0.917,2021-04-03
KCR,2,0,1.0,0.5,25,14,0.743,2021-04-03
DET,2,0,1.0,0.5,8,4,0.78,2021-04-03
BAL,2,0,1.0,0.5,7,2,0.908,2021-04-03
TBR,2,1,0.667,1.0,14,16,0.439,2021-04-03
SEA,2,1,0.667,1.0,15,13,0.565,2021-04-03
LAA,2,1,0.667,1.0,17,18,0.474,2021-04-03
MIN,1,1,0.5,1.5,7,6,0.57,2021-04-03
NYY,1,1,0.5,1.5,7,6,0.57,2021-04-03
TOR,1,1,0.5,1.5,6,7,0.43,2021-04-03
CHW,1,2,0.333,2.0,18,17,0.526,2021-04-03
TEX,0,2,0.0,2.5,14,25,0.257,2021-04-03
BOS,0,2,0.0,2.5,2,7,0.092,2021-04-03
CLE,0,2,0.0,2.5,4,8,0.22,2021-04-03
OAK,0,3,0.0,3.0,7,26,0.083,2021-04-03
PHI,3,0,1.0,--,9,3,0.882,2021-04-04
SDP,3,1,0.75,0.5,20,12,0.718,2021-04-04
LAD,3,1,0.75,0.5,26,21,0.596,2021-04-04
CIN,2,1,0.667,1.0,27,18,0.677,2021-04-04
CHC,2,1,0.667,1.0,12,9,0.629,2021-04-04
WSN,0,0,0.0,1.5,0,0,,2021-04-04
NYM,0,0,0.0,1.5,0,0,,2021-04-04
PIT,1,2,0.333,2.0,9,12,0.371,2021-04-04
MIL,1,2,0.333,2.0,8,15,0.24,2021-04-04
STL,1,2,0.333,2.0,18,27,0.323,2021-04-04
MIA,1,2,0.333,2.0,16,14,0.561,2021-04-04
